"Step","CRISPR + DGL_GCN - training loss","CRISPR + DGL_GCN - training loss__MIN","CRISPR + DGL_GCN - training loss__MAX","CRISPR + Transformer - training loss","CRISPR + Transformer - training loss__MIN","CRISPR + Transformer - training loss__MAX","CRISPR + CNN_RNN - training loss","CRISPR + CNN_RNN - training loss__MIN","CRISPR + CNN_RNN - training loss__MAX","CRISPR + CNN - training loss","CRISPR + CNN - training loss__MIN","CRISPR + CNN - training loss__MAX"
"0","0.07793502509593964","0.05214007943868637","0.1037299707531929","0.018996632657945156","0.01881914585828781","0.0191741194576025","0.0683820229023695","0.05345769599080086","0.08330634981393814","0.025064246729016304","0.02411537803709507","0.026013115420937538"
"2","0.08114827610552311","0.031761009246110916","0.1305355429649353","0.030789323151111603","0.026356492191553116","0.03522215411067009","0.037311810068786144","0.02481229044497013","0.04981132969260216","0.011605328414589167","0.011358466930687428","0.011852189898490906"
"4","0.0713453907519579","0.05876781418919563","0.08392296731472015","0.03419017046689987","0.027119029313325882","0.04126131162047386","0.02537219412624836","0.019775211811065674","0.030969176441431046","0.025367483496665955","0.0181271992623806","0.03260776773095131"
"6","0.050383607391268015","0.012233194895088673","0.08853401988744736","0.03602002840489149","0.02882547117769718","0.0432145856320858","0.019772063940763474","0.010058144107460976","0.02948598377406597","0.020041294395923615","0.019373035058379173","0.020709553733468056"
"8","0.049153296276926994","0.0318063385784626","0.06650025397539139","0.022030845750123262","0.008289900608360767","0.03577179089188576","0.01982352277263999","0.011287028901278973","0.028360016644001007","0.02318460401147604","0.016831565648317337","0.029537642374634743"
"10","0.036385935731232166","0.02318187616765499","0.04958999529480934","0.026804911904037","0.015997329726815224","0.037612494081258774","0.021580423461273313","0.006642291788011789","0.036518555134534836","0.03873659111559391","0.017842140048742294","0.059631042182445526"
"12","0.046491190791130066","0.041225168853998184","0.05175721272826195","0.013831717194989324","0.00585210369899869","0.021811330690979958","0.015746453776955605","0.015641266480088234","0.015851641073822975","0.017534766346216202","0.01046520471572876","0.024604327976703644"
"14","0.05737242475152016","0.035693563520908356","0.07905128598213196","0.0167744318023324","0.01586192287504673","0.017686940729618073","0.024697489105165005","0.022784415632486343","0.026610562577843666","0.014671601820737123","0.005794408731162548","0.0235487949103117"
"16","0.03324631880968809","0.02499840222299099","0.04149423539638519","0.0394193883985281","0.031725700944662094","0.047113075852394104","0.00979055860079825","0.007325504440814257","0.012255612760782242","0.012927289586514235","0.012484969571232796","0.013369609601795673"
"18","0.04860988259315491","0.03979180380702019","0.05742796137928963","0.02397917304188013","0.021075736731290817","0.026882609352469444","0.021375130861997604","0.01795496605336666","0.024795295670628548","0.006067234789952636","0.004953823518007994","0.007180646061897278"
