"Step","PPI_Affinity + DGL_GAT - training loss","PPI_Affinity + DGL_GAT - training loss__MIN","PPI_Affinity + DGL_GAT - training loss__MAX","PPI_Affinity + CNN_RNN - training loss","PPI_Affinity + CNN_RNN - training loss__MIN","PPI_Affinity + CNN_RNN - training loss__MAX","PPI_Affinity + Transformer - training loss","PPI_Affinity + Transformer - training loss__MIN","PPI_Affinity + Transformer - training loss__MAX","PPI_Affinity + CNN - training loss","PPI_Affinity + CNN - training loss__MIN","PPI_Affinity + CNN - training loss__MAX"
"0","37.1190767288208","25.127500534057617","49.110652923583984","5.922381162643433","5.439647197723389","6.405115127563477","22.267739295959473","18.1280574798584","26.407421112060547","6.789805173873901","5.355831623077393","8.22377872467041"
"2","52.266347885131836","39.48763656616211","65.04505920410156","12.819347143173218","7.514415264129639","18.124279022216797","9.731692790985107","8.231429100036621","11.231956481933594","9.362502813339233","6.595834255218506","12.129171371459961"
"4","34.75876045227051","33.26840591430664","36.249114990234375","8.638667583465576","7.238866806030273","10.038468360900879","11.530495166778564","10.85920524597168","12.20178508758545","8.019660711288452","4.331313610076904","11.7080078125"
"6","45.563690185546875","39.479557037353516","51.647823333740234","8.612010478973389","6.637945175170898","10.586075782775879","11.530079364776611","10.859997749328613","12.20016098022461","8.621468544006348","4.35355281829834","12.889384269714355"
"8","61.08425331115723","52.146907806396484","70.02159881591797","3.9514232873916626","3.859496831893921","4.043349742889404","8.739404082298279","3.0959746837615967","14.382833480834961","9.391598463058472","5.899172306060791","12.884024620056152"
"10","34.8084602355957","25.132644653320312","44.484275817871094","5.774308085441589","3.977398157119751","7.571218013763428","6.376965522766113","6.107316493988037","6.6466145515441895","5.66737961769104","4.645775318145752","6.688983917236328"
"12","29.019880294799805","26.505216598510742","31.534543991088867","8.134331464767456","6.209437847137451","10.059225082397461","4.091137170791626","2.5748767852783203","5.607397556304932","7.4201250076293945","6.485563278198242","8.354686737060547"
"14","25.116171836853027","19.67597007751465","30.556373596191406","5.723591089248657","5.431349754333496","6.015832424163818","5.866089105606079","4.5413384437561035","7.190839767456055","5.539682865142822","4.587220191955566","6.492145538330078"
"16","28.55580711364746","25.723831176757812","31.38778305053711","4.504236459732056","4.163607597351074","4.844865322113037","4.2426968812942505","2.3308775424957275","6.154516220092773","6.269104719161987","4.091640949249268","8.446568489074707"
"18","29.49568462371826","25.310468673706055","33.68090057373047","7.341318607330322","5.844873428344727","8.837763786315918","5.78842568397522","4.057575225830078","7.519276142120361","4.686490416526794","3.75160813331604","5.621372699737549"
"20","30.452585220336914","29.913482666015625","30.991687774658203","4.142807602882385","3.5670220851898193","4.718593120574951","5.578098297119141","4.9313459396362305","6.224850654602051","4.2691375613212585","1.6291998624801636","6.9090752601623535"
"22","22.06886863708496","18.099802017211914","26.037935256958008","2.0366089940071106","1.7701994180679321","2.303018569946289","2.9658693075180054","1.7084357738494873","4.223302841186523","6.23450493812561","4.76616907119751","7.702840805053711"
"24","17.528990745544434","11.417156219482422","23.640825271606445","4.148390769958496","2.8944826126098633","5.402298927307129","3.729904890060425","3.010176658630371","4.4496331214904785","3.987566113471985","2.042020082473755","5.933112144470215"
"26","18.306777954101562","16.4011173248291","20.212438583374023","3.5870813131332397","2.061621904373169","5.1125407218933105","2.945834159851074","2.797351121902466","3.0943171977996826","3.9726988077163696","3.900198221206665","4.045199394226074"
"28","23.668919563293457","19.70701789855957","27.630821228027344","2.325109839439392","1.7581567764282227","2.8920629024505615","3.3846782445907593","3.125509023666382","3.6438474655151367","5.6324087381362915","2.564607858657837","8.700209617614746"
"30","25.1302433013916","18.8469181060791","31.4135684967041","2.928516924381256","1.7060271501541138","4.151006698608398","3.59728467464447","3.2822985649108887","3.9122707843780518","2.8417367935180664","2.2578325271606445","3.4256410598754883"
"32","22.146430492401123","12.80151081085205","31.491350173950195","2.499924063682556","2.46384334564209","2.5360047817230225","4.923835396766663","2.3070852756500244","7.540585517883301","6.182223320007324","5.875184535980225","6.489262104034424"
"34","20.142292022705078","18.680095672607422","21.604488372802734","4.53885805606842","1.9805595874786377","7.097156524658203","4.4592050313949585","3.863074541091919","5.055335521697998","3.3388158082962036","3.2663745880126953","3.411257028579712"
"36","15.430149555206299","13.641301155090332","17.218997955322266","4.673406720161438","3.765449285507202","5.581364154815674","2.6112040877342224","1.7954646348953247","3.42694354057312","4.469835042953491","2.827645778656006","6.112024307250977"
"38","19.20026159286499","9.436224937438965","28.964298248291016","2.495435953140259","2.154303789138794","2.8365681171417236","3.4389978647232056","2.3508880138397217","4.5271077156066895","4.165645360946655","2.3768157958984375","5.954474925994873"
"40","20.93474292755127","18.97862434387207","22.89086151123047","2.7714041471481323","2.3918471336364746","3.15096116065979","3.398442804813385","1.60918390750885","5.18770170211792","4.421197175979614","4.297779560089111","4.544614791870117"
"42","18.91475820541382","15.365605354309082","22.463911056518555","4.235043287277222","3.817772388458252","4.652314186096191","4.066186189651489","3.165079116821289","4.9672932624816895","4.126687049865723","2.8664355278015137","5.386938571929932"
"44","15.756645679473877","15.588675498962402","15.924615859985352","2.827394962310791","2.194338798522949","3.460451126098633","2.36716890335083","1.3224718570709229","3.4118659496307373","3.786868095397949","2.443798542022705","5.129937648773193"
"46","20.45111322402954","13.138705253601074","27.763521194458008","3.5485262870788574","3.536226987838745","3.5608255863189697","3.2969741821289062","2.163484573364258","4.430463790893555","3.9100230932235718","3.5316078662872314","4.288438320159912"
"48","10.28696584701538","7.110922813415527","13.463008880615234","1.9148659706115723","1.2307841777801514","2.598947763442993","3.1955939531326294","2.2991464138031006","4.092041492462158","2.9333995580673218","1.8542354106903076","4.012563705444336"
"50","7.334421873092651","6.5541253089904785","8.114718437194824","1.6835376620292664","1.6408132314682007","1.726262092590332","3.8229269981384277","2.672112464904785","4.97374153137207","3.4140594005584717","3.1405692100524902","3.687549591064453"
"52","11.813348770141602","11.197124481201172","12.429573059082031","2.1636584997177124","1.802682638168335","2.52463436126709","2.2374114990234375","2.086737632751465","2.38808536529541","4.723250865936279","4.0955424308776855","5.350959300994873"
"54","19.95516872406006","15.51375961303711","24.396577835083008","2.9355238676071167","1.0784804821014404","4.792567253112793","3.3202857971191406","3.300443410873413","3.340128183364868","2.9833807945251465","2.9754064083099365","2.9913551807403564"
"56","6.992913246154785","5.266879081726074","8.718947410583496","2.657908022403717","1.5869940519332886","3.7288219928741455","2.829892635345459","2.8267486095428467","2.8330366611480713","2.747309982776642","1.8461979627609253","3.6484220027923584"
"58","22.985095024108887","9.76295280456543","36.207237243652344","3.021250605583191","2.302861213684082","3.7396399974823","3.4162222146987915","2.8584234714508057","3.9740209579467773","4.1268088817596436","3.486567974090576","4.767049789428711"
"60","10.799471616744995","7.016213893890381","14.58272933959961","3.914222478866577","2.215310573577881","5.613134384155273","2.7387932538986206","2.1219334602355957","3.3556530475616455","4.940699577331543","2.494497776031494","7.386901378631592"
"62","9.736104488372803","7.774530410766602","11.697678565979004","4.011244773864746","3.23215389251709","4.790335655212402","3.3600106239318848","2.6010146141052246","4.119006633758545","3.772417187690735","3.277777910232544","4.267056465148926"
"64","15.333871841430664","11.605978012084961","19.061765670776367","2.8553059101104736","2.3501405715942383","3.360471248626709","3.2933382987976074","3.1548514366149902","3.4318251609802246","2.3646625876426697","0.9504121541976929","3.7789130210876465"
"66","15.29963731765747","10.617953300476074","19.981321334838867","3.1252657175064087","1.7333848476409912","4.517146587371826","3.7680816650390625","3.2598485946655273","4.276314735412598","2.5114763975143433","2.3571531772613525","2.665799617767334"
"68","16.39967107772827","12.5574312210083","20.241910934448242","1.8693916201591492","1.4015010595321655","2.337282180786133","3.494148373603821","3.29775071144104","3.6905460357666016","3.5519585609436035","3.3713905811309814","3.7325265407562256"
"70","15.270665168762207","10.32135009765625","20.219980239868164","2.810039520263672","2.2574074268341064","3.3626716136932373","3.703378200531006","3.398378372192383","4.008378028869629","3.9880236387252808","3.1773083209991455","4.798738956451416"
"72","8.291637897491455","5.421686172485352","11.161589622497559","3.5940279960632324","2.9090919494628906","4.278964042663574","2.5129236578941345","1.6004246473312378","3.4254226684570312","4.783106088638306","4.185575008392334","5.380637168884277"
"74","8.313486099243164","5.277523994445801","11.349448204040527","2.4450961351394653","2.4352152347564697","2.454977035522461","2.118340492248535","1.5486748218536377","2.6880061626434326","4.846210241317749","3.291451930999756","6.400968551635742"
"76","10.61773157119751","5.80910587310791","15.42635726928711","2.731129288673401","2.171095132827759","3.291163444519043","3.3151846528053284","1.8882113695144653","4.742157936096191","4.034064054489136","3.413710117340088","4.654417991638184"
"78","9.72362756729126","8.305397987365723","11.141857147216797","3.0258927941322327","1.9970089197158813","4.054776668548584","2.586008667945862","1.9581384658813477","3.213878870010376","3.0707119703292847","2.9539079666137695","3.1875159740448"
"80","13.073147296905518","12.971235275268555","13.17505931854248","3.7890597581863403","3.2355616092681885","4.342557907104492","4.195338845252991","3.6806604862213135","4.710017204284668","3.0751668214797974","3.0300605297088623","3.1202731132507324"
"82","13.89731502532959","11.679458618164062","16.115171432495117","4.387569904327393","2.345181941986084","6.429957866668701","2.7323256731033325","2.246156692504883","3.2184946537017822","3.2939935326576233","1.7025610208511353","4.885426044464111"
"84","11.627671718597412","4.8497114181518555","18.40563201904297","2.563267707824707","1.4882793426513672","3.638256072998047","2.037453293800354","1.5617976188659668","2.513108968734741","5.260432004928589","3.7681798934936523","6.752684116363525"
"86","10.624433279037476","7.376621723175049","13.872244834899902","2.9396194219589233","2.920372247695923","2.958866596221924","3.2656891345977783","3.236177682876587","3.2952005863189697","2.4077266454696655","2.3417108058929443","2.4737424850463867"
"88","8.761030673980713","8.02672004699707","9.495341300964355","2.0289226770401","1.7619836330413818","2.2958617210388184","2.150621712207794","1.872085452079773","2.4291579723358154","3.072903633117676","1.9552087783813477","4.190598487854004"
"90","12.134882926940918","7.972745895385742","16.297019958496094","2.217789649963379","2.1570730209350586","2.278506278991699","3.562553286552429","2.880798578262329","4.244307994842529","4.958664774894714","3.0831997394561768","6.834129810333252"
"92","11.669395208358765","7.869441509246826","15.469348907470703","2.314027190208435","2.114814043045044","2.513240337371826","3.8410091400146484","2.008946418762207","5.67307186126709","2.7402299642562866","2.4556362628936768","3.0248236656188965"
"94","12.77473258972168","11.651543617248535","13.897921562194824","3.042556405067444","2.765805959701538","3.3193068504333496","2.584442436695099","1.3619211912155151","3.8069636821746826","2.4218626618385315","1.7709742784500122","3.072751045227051"
"96","7.460778713226318","6.081287384033203","8.840270042419434","2.247869372367859","1.117072582244873","3.3786661624908447","3.4790784120559692","2.1489040851593018","4.809252738952637","2.6186522841453552","1.843856692314148","3.3934478759765625"
"98","9.658132553100586","8.941827774047852","10.37443733215332","2.704954504966736","2.4034576416015625","3.006451368331909","3.1236363649368286","3.040959358215332","3.206313371658325","2.1339502930641174","1.904974341392517","2.3629262447357178"
"100","10.587637662887573","6.95892858505249","14.216346740722656","1.923447072505951","1.5973693132400513","2.2495248317718506","3.2153066992759705","1.9439719915390015","4.4866414070129395","3.6076245307922363","3.475956916809082","3.7392921447753906"
"102","13.540671825408936","9.425837516784668","17.655506134033203","2.191773295402527","2.0451765060424805","2.3383700847625732","2.8524625301361084","2.343057632446289","3.3618674278259277","3.4147170782089233","1.964240312576294","4.865193843841553"
"104","11.677195072174072","8.989653587341309","14.364736557006836","2.2747949957847595","1.374036192893982","3.175553798675537","3.0866808891296387","2.978569507598877","3.1947922706604004","4.727551221847534","4.2862653732299805","5.168837070465088"
"106","9.071971654891968","6.224144458770752","11.919798851013184","1.395958662033081","1.226563572883606","1.5653537511825562","2.3293703198432922","1.2679921388626099","3.3907485008239746","2.5809879302978516","2.1165850162506104","3.0453908443450928"
"108","9.684272289276123","8.455307006835938","10.913237571716309","2.3959006667137146","1.9834014177322388","2.8083999156951904","2.31796395778656","2.2469780445098877","2.3889498710632324","2.2642374634742737","1.6804836988449097","2.8479912281036377"
"110","8.40219783782959","4.820981979370117","11.983413696289062","1.8006736040115356","1.5644683837890625","2.036878824234009","3.004964828491211","2.590085506439209","3.419844150543213","3.7742656469345093","1.7604014873504639","5.788129806518555"
"112","9.070039749145508","8.52131462097168","9.618764877319336","1.5592812299728394","1.527966856956482","1.5905956029891968","2.4663708209991455","2.0398404598236084","2.8929011821746826","3.334807515144348","2.6865057945251465","3.98310923576355"
"114","8.589250802993774","6.785363674163818","10.39313793182373","2.107903778553009","1.2200709581375122","2.995736598968506","1.6280009150505066","1.6025372743606567","1.6534645557403564","3.442229151725769","2.245460271835327","4.638998031616211"
"116","4.197754204273224","1.9986897706985474","6.3968186378479","2.835059344768524","1.4239681959152222","4.246150493621826","1.6691206097602844","1.0567797422409058","2.281461477279663","2.874656081199646","1.4666850566864014","4.282627105712891"
"118","5.920827388763428","5.058123588562012","6.783531188964844","2.728709101676941","1.4352176189422607","4.022200584411621","2.8831064701080322","2.500720739364624","3.2654922008514404","2.816613733768463","1.8368526697158813","3.796374797821045"
"120","7.802132606506348","7.272512435913086","8.33175277709961","3.6971246004104614","3.2544076442718506","4.139841556549072","4.094270586967468","3.7223737239837646","4.466167449951172","2.5767523646354675","1.4660817384719849","3.68742299079895"
"122","7.297030210494995","7.212596416473389","7.381464004516602","2.73117196559906","2.553217887878418","2.909126043319702","2.054715156555176","1.4752020835876465","2.634228229522705","3.840254545211792","2.7371692657470703","4.943339824676514"
"124","5.46501362323761","3.453026533126831","7.477000713348389","1.2648412883281708","0.8925859332084656","1.637096643447876","1.4384110569953918","1.2453436851501465","1.6314784288406372","1.9395314455032349","1.7043395042419434","2.1747233867645264"
"126","7.118184685707092","3.568312883377075","10.66805648803711","2.3274059891700745","1.821168065071106","2.833643913269043","2.002994954586029","1.1881109476089478","2.8178789615631104","4.174842596054077","2.4896130561828613","5.860072135925293"
"128","9.65667724609375","9.079606056213379","10.233748435974121","2.90735125541687","2.4556148052215576","3.3590877056121826","1.9842849373817444","1.8407024145126343","2.1278674602508545","2.983087658882141","1.4675519466400146","4.498623371124268"
"130","6.0200440883636475","4.297647476196289","7.742440700531006","1.8290793299674988","1.2927404642105103","2.3654181957244873","3.8036853075027466","3.41176438331604","4.195606231689453","4.316930890083313","2.165092706680298","6.468769073486328"
"132","6.649815797805786","6.075231552124023","7.224400043487549","6.167249917984009","5.762879371643066","6.571620464324951","1.9464430809020996","1.7894785404205322","2.103407621383667","2.1909483671188354","1.9848098754882812","2.3970868587493896"
"134","10.602579116821289","7.082151412963867","14.123006820678711","3.1352521777153015","1.9362071752548218","4.334297180175781","1.6238243579864502","1.4919219017028809","1.7557268142700195","1.675845205783844","1.1290453672409058","2.2226450443267822"
"136","5.278568744659424","4.878149032592773","5.678988456726074","3.5245156288146973","2.0624637603759766","4.986567497253418","2.2479965686798096","2.1786961555480957","2.3172969818115234","2.650393307209015","1.6441477537155151","3.6566388607025146"
