"Step","PPI_Affinity + DGL_GAT - R2","PPI_Affinity + DGL_GAT - R2__MIN","PPI_Affinity + DGL_GAT - R2__MAX","PPI_Affinity + CNN_RNN - R2","PPI_Affinity + CNN_RNN - R2__MIN","PPI_Affinity + CNN_RNN - R2__MAX","PPI_Affinity + Transformer - R2","PPI_Affinity + Transformer - R2__MIN","PPI_Affinity + Transformer - R2__MAX","PPI_Affinity + CNN - R2","PPI_Affinity + CNN - R2__MIN","PPI_Affinity + CNN - R2__MAX"
"1","-0.06570748407004876","-0.0760657839574233","-0.055349184182674205","0.2152005863995245","0.1752102587252872","0.2551909140737618","0.09552220039574696","0.00341730965087933","0.1876270911406146","-0.21381655657777715","-0.2847592692467187","-0.14287384390883562"
"3","-0.05413085381017558","-0.0627613664298102","-0.04550034119054096","0.3665514174639058","0.36537125082958644","0.36773158409822515","0.20995654828257193","0.1288789576338064","0.29103413893133745","0.2239789999625637","0.1680891143085422","0.27986888561658524"
"5","-0.03316379980784105","-0.04609843941326872","-0.020229160202413374","0.36185395302553497","0.35667270934779405","0.3670351967032759","0.3347801876924617","0.29582045980750166","0.37373991557742176","0.3532128960203064","0.34260474898925","0.36382104305136287"
"7","-0.0438582229469088","-0.04465644675259632","-0.04305999914122127","0.39838274401505236","0.3728883283611521","0.42387715966895256","0.3899078162065245","0.3688188273446865","0.41099680506836245","0.3764014653507126","0.3614914432362091","0.39131148746521616"
"9","-0.03723989416082825","-0.04264360133819831","-0.03183618698345818","0.42090997885062853","0.4186517797954349","0.4231681779058222","0.43367533104483624","0.42544892349778995","0.44190173859188253","0.3864375540990185","0.36734542904087686","0.4055296791571601"
"11","-0.023808725618159717","-0.029105329499976906","-0.018512121736342528","0.4536403169484478","0.4279985115206022","0.4792821223762934","0.4681851816568788","0.4672670626566904","0.4691033006570672","0.39714800887448465","0.3736228616090003","0.4206731561399689"
"13","-0.015793159369706523","-0.02758383734161173","-0.004002481397801322","0.4626590902958757","0.45364764172748745","0.471670538864264","0.4977275922904247","0.4941967998286513","0.5012583847521981","0.4065376807944046","0.38061753302413015","0.43245782856467907"
"15","-0.008606927301750042","-0.010641384309634851","-0.006572470293865235","0.4758938006660991","0.4639844233043235","0.48780317802787476","0.5106140926704883","0.5092210092178974","0.5120071761230791","0.41379437527949403","0.3880967509856064","0.4394919995733816"
"17","-0.006847990803171569","-0.007250615354828932","-0.006445366251514206","0.48521737896538436","0.4824462059500956","0.48798855198067315","0.5153479987769907","0.5116454159548743","0.5190505815991069","0.42494717027187706","0.40089873512259266","0.44899560542116146"
"19","0.015540687665792589","0.003227743377006105","0.027853631954579072","0.48554788558920325","0.4753102222477946","0.4957855489306119","0.5236840647787311","0.5187174197717861","0.5286507097856761","0.4338893780290337","0.4119155890768214","0.45586316698124596"
"21","0.028775516942012976","0.021175971967704238","0.03637506191632171","0.49486731492890335","0.49402382008997403","0.49571080976783266","0.5230459843703674","0.5199306085162568","0.5261613602244781","0.4424440792311149","0.42327103567962576","0.46161712278260403"
"23","0.02919703345477775","0.011375697847924686","0.047018369061630816","0.49606013464365584","0.48618250289716197","0.5059377663901498","0.5317562391589996","0.5241479970120038","0.5393644813059955","0.4524908694590563","0.4357512695315463","0.4692304693865663"
