"Step","SAbDab_Chen + DGL_GCN - MSE","SAbDab_Chen + DGL_GCN - MSE__MIN","SAbDab_Chen + DGL_GCN - MSE__MAX","SAbDab_Chen + Transformer - MSE","SAbDab_Chen + Transformer - MSE__MIN","SAbDab_Chen + Transformer - MSE__MAX","SAbDab_Chen + CNN_RNN - MSE","SAbDab_Chen + CNN_RNN - MSE__MIN","SAbDab_Chen + CNN_RNN - MSE__MAX","SAbDab_Chen + CNN - MSE","SAbDab_Chen + CNN - MSE__MIN","SAbDab_Chen + CNN - MSE__MAX"
"1","0.595542705605048","0.5494317518727843","0.6416536593373116","0.1493484241226601","0.1480799244235092","0.15061692382181102","0.1488939726837344","0.14842453902532005","0.1493634063421487","0.14859987236613348","0.14856535999694825","0.1486343847353187"
"3","0.674614861170206","0.5366448892051601","0.8125848331352519","0.14899292830908753","0.14850208259701264","0.14948377402116242","0.16992398795446312","0.15107097476076367","0.18877700114816257","0.14711890102295624","0.14657568058678494","0.14766212145912755"
"5","0.3695366220712708","0.3051130920916238","0.43396015205091787","0.14763946964163777","0.1455529764546654","0.14972596282861014","0.16330698725487253","0.1488627619526961","0.17775121255704893","0.1411644350132467","0.1399991701628167","0.14232969986367666"
"7","0.5219979775485488","0.5131529357459904","0.5308430193511073","0.14700016293041024","0.14604449231422187","0.14795583354659864","0.14843215409014526","0.1453847821748987","0.15147952600539186","0.13023569819128017","0.1288344233433071","0.13163697303925323"
"9","0.4440401790307479","0.4155129820559955","0.47256737600550025","0.15129050324397905","0.14616979009020195","0.15641121639775615","0.1422622072224548","0.13840061299358158","0.14612380145132803","0.12106164859348317","0.12054017001696436","0.12158312717000197"
"11","0.40656270162759156","0.3260084367472665","0.48711696650791664","0.1506940763653944","0.14869145959864893","0.15269669313213985","0.13963252388977979","0.13087104218581377","0.1483940055937458","0.11668957989199011","0.11522973248764669","0.11814942729633351"
"13","0.40878186641502046","0.2875247350662004","0.5300389977638404","0.1497676725100944","0.1488187027757186","0.1507166422444702","0.13123982612868276","0.12495266771318508","0.13752698454418044","0.11305370512450598","0.11227021665319001","0.11383719359582195"
"15","0.2803883498164837","0.2717535257618857","0.2890231738710817","0.1481287202804039","0.14728420372943937","0.14897323683136848","0.12470791727784077","0.1226929993494664","0.12672283520621513","0.10798993542596755","0.105651956802506","0.1103279140494291"
"17","0.44400172428396345","0.3455920818251993","0.5424113667427276","0.15180666353194183","0.1506261556298345","0.15298717143404916","0.12486412037263722","0.12170432822640814","0.1280239125188663","0.10275729073726575","0.10160217561078136","0.10391240586375014"
"19","0.29053265476918977","0.2437345662469676","0.33733074329141194","0.1471552449450228","0.1468292153165612","0.14748127457348437","0.1182883872915749","0.11760440095117729","0.1189723736319725","0.10028418942825551","0.09817312345345205","0.10239525540305895"
