"Step","SAbDab_Liberis + Token_Transformer - training loss","SAbDab_Liberis + Token_Transformer - training loss__MIN","SAbDab_Liberis + Token_Transformer - training loss__MAX","SAbDab_Liberis + Token_CNN_RNN - training loss","SAbDab_Liberis + Token_CNN_RNN - training loss__MIN","SAbDab_Liberis + Token_CNN_RNN - training loss__MAX","SAbDab_Liberis + Token_CNN - training loss","SAbDab_Liberis + Token_CNN - training loss__MIN","SAbDab_Liberis + Token_CNN - training loss__MAX"
"0","0.08629713207483292","0.0858054980635643","0.08678876608610153","0.09048027917742729","0.09024167060852051","0.09071888774633408","0.08709379658102989","0.08671241253614426","0.08747518062591553"
"2","0.08423030003905296","0.08391610532999039","0.08454449474811554","0.08811049535870552","0.0881098285317421","0.08811116218566895","0.07123985514044762","0.07082107663154602","0.07165863364934921"
"4","0.08398427814245224","0.08393111824989319","0.08403743803501129","0.06271182000637054","0.06081505864858627","0.06460858136415482","0.05833398178219795","0.0579831637442112","0.05868479982018471"
"6","0.08367044851183891","0.08344690501689911","0.08389399200677872","0.050129057839512825","0.049570128321647644","0.050687987357378006","0.050283242017030716","0.04989657178521156","0.05066991224884987"
"8","0.08374563604593277","0.08357448875904083","0.08391678333282471","0.044414037838578224","0.04339068382978439","0.045437391847372055","0.046147940680384636","0.04580546170473099","0.046490419656038284"
"10","0.08325188979506493","0.08293931931257248","0.08356446027755737","0.03614411503076553","0.03574945405125618","0.03653877601027489","0.042074743658304214","0.041405268013477325","0.042744219303131104"
"12","0.0838475301861763","0.0833815261721611","0.0843135342001915","0.02939644269645214","0.028517847880721092","0.03027503751218319","0.038757821545004845","0.03784215450286865","0.03967348858714104"
"14","0.08215262740850449","0.08201565593481064","0.08228959888219833","0.016765656881034374","0.01639348454773426","0.017137829214334488","0.03572898171842098","0.03509474918246269","0.03636321425437927"
"16","0.08265062421560287","0.08199417591094971","0.08330707252025604","0.01169520616531372","0.010059424676001072","0.01333098765462637","0.03290123865008354","0.032448120415210724","0.03335435688495636"
"18","0.08180425688624382","0.08113124966621399","0.08247726410627365","0.009261819534003735","0.007978558540344238","0.010545080527663231","0.030758257023990154","0.03055476024746895","0.03096175380051136"
"20","0.0817897841334343","0.08127380907535553","0.08230575919151306","0.007254945347085595","0.006502137985080481","0.00800775270909071","0.029030985198915005","0.028727060183882713","0.029334910213947296"
"22","0.08172189816832542","0.08105096966028214","0.08239282667636871","0.005835416028276086","0.0052579776383936405","0.006412854418158531","0.027174215763807297","0.026963800191879272","0.02738463133573532"
"24","0.0809960588812828","0.08076237887144089","0.08122973889112473","0.004446502076461911","0.0038793040439486504","0.005013700108975172","0.025472410023212433","0.025214627385139465","0.0257301926612854"
"26","0.08206158503890038","0.08117670565843582","0.08294646441936493","0.003307285951450467","0.003055186942219734","0.0035593849606812","0.024044173769652843","0.023163730278611183","0.024924617260694504"
"28","0.08087462559342384","0.08056368678808212","0.08118556439876556","0.0027251598658040166","0.0026936435606330633","0.00275667617097497","0.022594397887587547","0.021881693974137306","0.02330710180103779"
"30","0.08107452094554901","0.08092908561229706","0.08121995627880096","0.002278032014146447","0.0020962741691619158","0.0024597898591309786","0.02143304981291294","0.020521555095911026","0.022344544529914856"
"32","0.07993976399302483","0.07958552986383438","0.08029399812221527","0.002013859513681382","0.0019154524197801948","0.002112266607582569","0.02068388368934393","0.01938602328300476","0.021981744095683098"
"34","0.08123563602566719","0.08080083131790161","0.08167044073343277","0.0015346421860158443","0.0012981761246919632","0.0017711082473397255","0.020059848204255104","0.01858549378812313","0.021534202620387077"
"36","0.08032650873064995","0.07970093190670013","0.08095208555459976","0.0017528121243230999","0.0012505346676334739","0.002255089581012726","0.019075771793723106","0.017641961574554443","0.02050958201289177"
"38","0.08025156334042549","0.0799751877784729","0.08052793890237808","0.0017966597806662321","0.0016162870451807976","0.0019770325161516666","0.01864176895469427","0.01730441302061081","0.019979124888777733"
"40","0.08070565015077591","0.07996468991041183","0.08144661039113998","0.0016644543502479792","0.0013397217262536287","0.0019891869742423296","0.01760698016732931","0.015964878723025322","0.0192490816116333"
"42","0.08023306727409363","0.07977954298257828","0.08068659156560898","0.001940665242727846","0.0010434255236759782","0.0028379049617797136","0.017123940400779247","0.015446865931153297","0.018801014870405197"
"44","0.08052372187376022","0.0799172967672348","0.08113014698028564","0.001721113978419453","0.0015433585504069924","0.0018988694064319134","0.01642239186912775","0.015142524614930153","0.017702259123325348"
"46","0.08051615953445435","0.0800844058394432","0.08094791322946548","0.0012879277928732336","0.0007281284779310226","0.0018477271078154445","0.016711896285414696","0.015328653156757355","0.018095139414072037"
"48","0.0796181708574295","0.07874688506126404","0.08048945665359497","0.0022888922540005296","0.0008238341542892158","0.0037539503537118435","0.015367661137133837","0.01317149493843317","0.017563827335834503"
"50","0.08024830371141434","0.0801953375339508","0.08030126988887787","0.0010425315704196692","0.0009344244608655572","0.0011506386799737811","0.016355664003640413","0.014457476325333118","0.018253851681947708"
"52","0.0801706314086914","0.08015316724777222","0.0801880955696106","0.0009825413580983877","0.0004006512463092804","0.001564431469887495","0.015053291339427233","0.014785836450755596","0.01532074622809887"
"54","0.08067742735147476","0.07941939681768417","0.08193545788526535","0.000915113341761753","0.0005613875691778958","0.0012688391143456101","0.015590076334774494","0.0143121387809515","0.01686801388859749"
"56","0.08046379312872887","0.07983513176441193","0.0810924544930458","0.0016122779488796368","0.000337769539328292","0.0028867863584309816","0.012558507733047009","0.011877593584358692","0.013239421881735325"
"58","0.0794123150408268","0.07921256870031357","0.07961206138134003","0.0016100943903438747","0.0005022539990022779","0.0027179347816854715","0.011867356486618519","0.010989217087626457","0.01274549588561058"
