Step,SubCellular + DGL_NeuralFP - Accuracy,SubCellular + DGL_NeuralFP - Accuracy__MIN,SubCellular + DGL_NeuralFP - Accuracy__MAX,SubCellular + DGL_GCN - Accuracy,SubCellular + DGL_GCN - Accuracy__MIN,SubCellular + DGL_GCN - Accuracy__MAX,SubCellular + CNN_RNN - Accuracy,SubCellular + CNN_RNN - Accuracy__MIN,SubCellular + CNN_RNN - Accuracy__MAX,SubCellular + Transformer - Accuracy,SubCellular + Transformer - Accuracy__MIN,SubCellular + Transformer - Accuracy__MAX,SubCellular + CNN - Accuracy,SubCellular + CNN - Accuracy__MIN,SubCellular + CNN - Accuracy__MAX
1,0.288674527,0.288674527,0.288674527,0.422293676,0.408002858,0.436584494,0.337958022,0.32906439,0.346851654,0.340448239,0.339025258,0.34187122,0.287797937,0.287797937,0.287797937
3,0.323329761,0.309038942,0.337620579,0.469632012,0.469096106,0.470167917,0.391141942,0.367840626,0.414443259,0.345428673,0.339025258,0.351832088,0.353610815,0.353610815,0.353610815
5,0.352804573,0.340478742,0.365130404,0.487316899,0.489817792,0.484816006,0.401458556,0.386339381,0.41657773,0.352187834,0.352187834,0.352187834,0.36677339,0.36677339,0.36677339
7,0.371204001,0.369417649,0.372990354,0.485530547,0.476598785,0.494462308,0.423870509,0.422981145,0.424759872,0.358235503,0.357879758,0.358591249,0.373532551,0.373532551,0.373532551
9,0.374776706,0.374419436,0.375133976,0.510360843,0.502322258,0.518399428,0.464959089,0.454286731,0.475631448,0.363749555,0.363571683,0.363927428,0.457132693,0.457132693,0.457132693
11,0.385137549,0.381564845,0.388710254,0.487852805,0.493390497,0.482315113,0.485414443,0.479188901,0.491639986,0.371575952,0.367840626,0.375311277,0.456421202,0.456421202,0.456421202
13,0.389424795,0.387995713,0.390853876,0.518399429,0.514826724,0.521972133,0.505869797,0.49057275,0.521166845,0.378157239,0.373888296,0.382426183,0.481679118,0.481679118,0.481679118
15,0.390853876,0.384423008,0.397284745,0.523937121,0.524830297,0.523043944,0.505869797,0.501245109,0.510494486,0.368552117,0.358591249,0.378512985,0.493774457,0.493774457,0.493774457
17,0.40907467,0.407645588,0.410503751,0.520543051,0.514469453,0.526616649,0.53094984,0.510494486,0.551405194,0.391141942,0.383137673,0.399146211,0.499822127,0.499822127,0.499822127
19,0.403715613,0.396570204,0.410861022,0.514469454,0.499106824,0.529832083,0.558875845,0.555674137,0.562077552,0.398790466,0.392387051,0.405193881,0.50337958,0.50337958,0.50337958
21,0.414612362,0.40943194,0.419792783,0.511254019,0.515898535,0.506609503,0.562433298,0.560298826,0.564567769,0.397367485,0.387406617,0.407328353,0.50942725,0.50942725,0.50942725
23,0.411396927,0.402643801,0.420150054,0.528224366,0.513754912,0.542693819,0.552294557,0.549270722,0.555318392,0.408751334,0.407684098,0.40981857,0.517609392,0.517609392,0.517609392
25,0.407645588,0.405144695,0.410146481,0.536084316,0.53519114,0.536977492,0.581287798,0.577730345,0.584845251,0.405016009,0.404838136,0.405193881,0.519743863,0.519743863,0.519743863
27,0.414255091,0.414076456,0.414433726,0.527867095,0.537334762,0.518399428,0.56261117,0.548203486,0.577018855,0.394877268,0.389896834,0.399857702,0.510850231,0.510850231,0.510850231
29,0.418363701,0.40943194,0.427295463,0.54269382,0.55091104,0.534476599,0.567591604,0.564923515,0.570259694,0.400213447,0.390252579,0.410174315,0.513162576,0.512984703,0.513340448
31,0.421936406,0.421221865,0.422650947,0.536262951,0.51947124,0.553054662,0.575062255,0.565990751,0.58413376,0.41657773,0.413376023,0.419779438,0.520633227,0.520455354,0.520811099
33,0.419256877,0.41693462,0.421579135,0.54269382,0.536620222,0.548767417,0.57808609,0.573461402,0.582710779,0.417822839,0.414087513,0.421558164,0.512984703,0.511917467,0.514051939
35,0.430868167,0.424080029,0.437656306,0.522686674,0.503394069,0.541979278,0.574528637,0.569192458,0.579864817,0.411419424,0.410174315,0.412664532,0.535396656,0.53432942,0.536463892
37,0.42550911,0.41693462,0.434083601,0.535548411,0.539835656,0.531261165,0.58075418,0.576663109,0.584845251,0.42191391,0.416933476,0.426894344,0.521166845,0.520455354,0.521878335
39,0.427831368,0.425866381,0.429796356,0.53519114,0.525187567,0.545194712,0.587869086,0.584489506,0.591248666,0.418178584,0.411597296,0.424759872,0.516720028,0.512984703,0.520455354
41,0.424437299,0.414433726,0.434440872,0.529474813,0.542693819,0.516255806,0.576129491,0.564923515,0.587335468,0.424226254,0.420135183,0.428317325,0.511739594,0.50942725,0.514051939
43,0.43336906,0.427295463,0.439442658,0.540907467,0.540192926,0.541622008,0.587335468,0.586268232,0.588402704,0.411419424,0.411241551,0.411597296,0.528459623,0.52757026,0.529348986
45,0.434262237,0.427295463,0.44122901,0.529474813,0.52733119,0.531618435,0.577196727,0.572749911,0.581643543,0.429206688,0.420846674,0.437566702,0.517787264,0.517253646,0.518320882
47,0.433904966,0.426938192,0.44087174,0.533762058,0.529117542,0.538406574,0.583955888,0.574172892,0.593738883,0.429562433,0.427605834,0.431519032,0.534151547,0.533262184,0.535040911
49,0.435691318,0.42515184,0.446230797,0.527688461,0.512325831,0.54305109,0.579864817,0.572749911,0.586979723,0.420135183,0.418712202,0.421558164,0.491817858,0.48452508,0.499110637
51,0.427295463,0.424794569,0.429796356,0.537334763,0.524115756,0.550553769,0.572749911,0.567769477,0.577730345,0.43134116,0.426894344,0.435787976,0.530594095,0.526147279,0.535040911
53,0.431225438,0.431225438,0.431225438,0.526080743,0.517684887,0.534476599,0.581465671,0.577018855,0.585912487,0.427250089,0.420846674,0.433653504,0.534507293,0.531839203,0.537175382
55,0.434798142,0.432297249,0.437299035,0.537334763,0.547695606,0.526973919,0.579509072,0.576307364,0.582710779,0.429562433,0.424404127,0.43472074,0.516008538,0.512984703,0.519032373
57,0.431582708,0.430868167,0.432297249,0.518399429,0.546266524,0.490532333,0.580398435,0.579153326,0.581643543,0.42867307,0.424048381,0.433297759,0.50675916,0.50337958,0.510138741
59,0.436227224,0.434440872,0.438013576,0.545551983,0.544480171,0.546623794,0.580042689,0.57132693,0.588758449,0.422091782,0.419779438,0.424404127,0.514941302,0.505869797,0.524012807
61,0.435869954,0.430153626,0.441586281,0.548231512,0.550196499,0.546266524,0.585378869,0.573817147,0.596940591,0.426894344,0.425827108,0.42796158,0.520455354,0.519743863,0.521166845
63,0.435691318,0.434440872,0.436941765,0.539835656,0.536620222,0.54305109,0.56794735,0.564567769,0.57132693,0.431696905,0.430451797,0.432942014,0.519032373,0.519032373,0.519032373
65,0.43301179,0.429081815,0.436941765,0.543229725,0.550553769,0.535905681,0.572216293,0.564212024,0.580220562,0.423692636,0.420490928,0.426894344,0.519743863,0.517609392,0.521878335
67,0.437656306,0.434083601,0.44122901,0.548588782,0.543765631,0.553411933,0.573639274,0.573105656,0.574172892,0.430096051,0.427250089,0.432942014,0.508004269,0.506581288,0.50942725
69,0.435155413,0.431939979,0.438370847,0.535369775,0.553054662,0.517684887,0.580398435,0.576663109,0.58413376,0.425471363,0.422269655,0.42867307,0.501422981,0.490928495,0.511917467
71,0.440335834,0.438728117,0.441943551,0.541800644,0.551625581,0.531975706,0.578263963,0.570971185,0.585556741,0.429562433,0.429384561,0.429740306,0.514585557,0.508360014,0.520811099
73,0.443551268,0.439085388,0.448017149,0.545194713,0.542693819,0.547695606,0.57203842,0.569903949,0.574172892,0.431163287,0.430451797,0.431874778,0.514763429,0.512273212,0.517253646
75,0.439799929,0.436941765,0.442658092,0.541800644,0.547695606,0.535905681,0.58075418,0.574528637,0.586979723,0.429384561,0.4226254,0.436143721,0.488260406,0.472073995,0.504446816
77,0.443729904,0.439442658,0.448017149,0.533047517,0.539478385,0.526616649,0.575418001,0.565635005,0.585200996,0.430096051,0.420490928,0.439701174,0.490217005,0.479544646,0.500889363
79,0.446052161,0.444444444,0.447659879,0.54305109,0.553769203,0.532332976,0.582888652,0.572394166,0.593383138,0.423336891,0.4226254,0.424048381,0.468516542,0.46638207,0.470651014
81,0.444801715,0.442300822,0.447302608,0.535369775,0.551625581,0.519113969,0.586446105,0.581643543,0.591248666,0.433119886,0.426182853,0.440056919,0.498043401,0.491639986,0.504446816
83,0.438192212,0.434440872,0.441943551,0.557341908,0.554841015,0.559842801,0.586446105,0.582710779,0.59018143,0.428495197,0.423336891,0.433653504,0.506937033,0.504802561,0.509071505
85,0.451947124,0.449803501,0.454090747,0.543586996,0.544837442,0.542336549,0.581287798,0.570259694,0.592315902,0.432230523,0.430807542,0.433653504,0.504091071,0.501600854,0.506581288
87,0.451053948,0.44873169,0.453376206,0.536262951,0.541622008,0.530903894,0.575951619,0.560654571,0.591248666,0.430273924,0.430096051,0.430451797,0.506581288,0.504802561,0.508360014
89,0.450696677,0.448017149,0.453376206,0.536977492,0.539121115,0.534833869,0.584489506,0.583778015,0.585200996,0.435610103,0.430451797,0.44076841,0.498932764,0.483813589,0.514051939
91,0.443908539,0.438370847,0.449446231,0.528938907,0.530903894,0.526973919,0.580398435,0.569192458,0.591604411,0.421558164,0.420490928,0.4226254,0.510672359,0.509071505,0.512273212
93,0.446588067,0.440157199,0.453018935,0.556091461,0.563772776,0.548410146,0.578263963,0.569903949,0.586623977,0.431163287,0.421558164,0.44076841,0.484880825,0.472785486,0.496976165
95,0.455877099,0.451947124,0.459807074,0.513933548,0.517327617,0.510539478,0.583778015,0.58342227,0.58413376,0.431519032,0.430451797,0.432586268,0.504980434,0.49733191,0.512628958
97,0.448017149,0.444801715,0.451232583,0.546981065,0.543765631,0.550196499,0.594628246,0.593027392,0.5962291,0.432942014,0.421202419,0.444681608,0.499822127,0.498754891,0.500889363
99,0.443729904,0.434798142,0.452661665,0.539835656,0.548052876,0.531618435,0.592315902,0.586268232,0.598363572,0.436499466,0.428317325,0.444681608,0.482034863,0.463180363,0.500889363
101,0.456770275,0.455877099,0.457663451,0.536620222,0.55091104,0.522329403,0.576840982,0.574884383,0.578797581,0.433653504,0.426538598,0.44076841,0.504802561,0.50337958,0.506225543
103,0.443729904,0.439442658,0.448017149,0.517684888,0.520543051,0.514826724,0.587691213,0.585556741,0.589825685,0.433653504,0.425115617,0.442191391,0.483457844,0.477410174,0.489505514
105,0.440693105,0.436227224,0.445158985,0.54680243,0.556984637,0.536620222,0.582710779,0.5773746,0.588046958,0.439345429,0.438278193,0.440412665,0.501245109,0.496264674,0.506225543
107,0.451053948,0.444444444,0.457663451,0.522865309,0.52733119,0.518399428,0.570793312,0.569548203,0.57203842,0.426538598,0.422269655,0.430807542,0.487548915,0.476698684,0.498399146
109,0.454983923,0.444801715,0.465166131,0.553590568,0.555912826,0.55126831,0.577552472,0.576663109,0.578441836,0.429740306,0.419423693,0.440056919,0.495731057,0.490928495,0.500533618
111,0.456413005,0.454805288,0.458020722,0.544480172,0.554126474,0.534833869,0.585023123,0.581287798,0.588758449,0.437566702,0.432942014,0.442191391,0.49662042,0.489149769,0.504091071
113,0.453554841,0.441586281,0.465523401,0.538585209,0.561271883,0.515898535,0.584845251,0.578797581,0.590892921,0.439167556,0.437210957,0.441124155,0.497154038,0.493418712,0.500889363
115,0.458556627,0.453376206,0.463737049,0.559664166,0.563415506,0.555912826,0.583955888,0.57808609,0.589825685,0.434009249,0.424759872,0.443258627,0.492351476,0.478833155,0.505869797
117,0.457842086,0.452661665,0.463022508,0.545194712,0.541264737,0.549124687,0.591248666,0.584845251,0.597652081,0.436499466,0.424759872,0.448239061,0.488971896,0.486303806,0.491639986
119,0.454448017,0.451232583,0.457663451,0.541979279,0.544122901,0.539835656,0.580932053,0.579864817,0.581999289,0.438811811,0.429028815,0.448594806,0.497509783,0.492351476,0.50266809
