"Step","TAP + DGL_GAT - R2","TAP + DGL_GAT - R2__MIN","TAP + DGL_GAT - R2__MAX","TAP + Transformer - R2","TAP + Transformer - R2__MIN","TAP + Transformer - R2__MAX","TAP + CNN_RNN - R2","TAP + CNN_RNN - R2__MIN","TAP + CNN_RNN - R2__MAX","TAP + CNN - R2","TAP + CNN - R2__MIN","TAP + CNN - R2__MAX"
"1","0.7069891253656737","0.6767567920602213","0.7372214586711261","0.05122781875626047","-0.010226267723354415","0.11268190523587536","0.1593164227929756","0.14070961010864688","0.17792323547730426","-0.21868254550227587","-0.26317979569064975","-0.17418529531390198"
"3","0.7300361194147977","0.7237363446298154","0.73633589419978","0.09381973790870987","0.06971830440238815","0.11792117141503161","-0.1750258973633962","-0.19689860065694645","-0.1531531940698459","-0.22251440430206215","-0.26369139470101677","-0.18133741390310754"
"5","0.7125257726044598","0.7002872170817243","0.7247643281271954","0.12471344018381189","0.10273607730698407","0.14669080306063972","-0.07857169816270414","-0.23923186878050168","0.0820884724550934","-0.15231392026531568","-0.16540921034462353","-0.13921863018600783"
"7","0.7228621064448135","0.7224610573423329","0.7232631555472941","0.14036398429497024","0.11959189502007342","0.16113607356986706","-0.21144221576950445","-0.22418659439291255","-0.19869783714609635","-0.1357970168579254","-0.2788267007166465","0.007232667000795723"
"9","0.7306172748112117","0.7252197603134067","0.7360147893090168","0.13578200070015148","0.10024223398521387","0.1713217674150891","0.03332865397957721","0.0017595725773346393","0.06489773538181978","-0.0716078234761914","-0.27260503866164343","0.12938939170926061"
"11","0.7357691197960718","0.7304060958107206","0.7411321437814231","0.11537509990614671","0.05274251862113019","0.17800768119116323","-0.010606893876216675","-0.11411811911403727","0.09290433136160392","-0.0008504310705568369","-0.20295441822834906","0.20125355608723539"
"13","0.7411808151494717","0.7329443964873865","0.7494172338115568","0.11426179141951383","0.03828493512617426","0.1902386477128534","-0.12984314774087005","-0.1403837522393395","-0.11930254324240061","0.10957120226738877","-0.02112423013334272","0.24026663466812026"
"15","0.7426874196805546","0.7317377728702119","0.7536370664908973","0.11380185061462565","0.03287322805024759","0.19473047317900372","0.11200277350128518","-0.0050475803565390165","0.22905312735910938","0.19779906801633454","0.13370323559413427","0.2618949004385348"
"17","0.744169993606913","0.7315941143255591","0.7567458728882671","0.12307081192870493","0.05010720985544656","0.1960344140019633","-0.0515308392805543","-0.11454165275150395","0.011479974190395361","0.23251670853711282","0.19315819949149018","0.2718752175827355"
"19","0.7460964046396299","0.7339873944275235","0.7582054148517364","0.13111001636410277","0.06628760769009549","0.19593242503811004","0.16399910757560374","0.01820544024785071","0.30979277490335677","0.24811026949993673","0.23156359809586452","0.26465694090400893"
"21","0.7478415990152749","0.7378332264768501","0.7578499715536996","0.13871685979636553","0.08291454018367887","0.1945191794090522","0.028653881685791666","-0.11685967166879963","0.17416743504038296","0.2573030437222644","0.24822317289978166","0.26638291454474716"
"23","0.7472511215939484","0.7387168988095381","0.7557853443783586","0.145545281136563","0.09713427628507677","0.19395628598804923","0.1376691390315978","0.007308311938662784","0.26802996612453284","0.2590191714783826","0.22626258552531447","0.2917757574314507"
"25","0.7457425269575388","0.7388536257065812","0.7526314282084964","0.14776109836055457","0.10289327237095373","0.19262892435015538","0.009885924128271467","-0.1259884167636372","0.14576026502018014","0.25668817743520395","0.20298598428691442","0.31039037058349345"
"27","0.7463499620511607","0.7419526035109315","0.7507473205913898","0.15536162092242226","0.1185550725755984","0.19216816926924613","0.14694888116059351","0.1250407771817761","0.16885698513941091","0.24699619037208392","0.17417494502294756","0.3198174357212203"
"29","0.7481551754942686","0.7468708216435557","0.7494395293449816","0.1652425413571722","0.13638319857446","0.19410188413988438","0.10243284784433183","0.04420491390212247","0.1606607817865412","0.25219253115394924","0.17215692443913405","0.33222813786876443"
"31","0.7521922655297457","0.7506682397225195","0.7537162913369719","0.17181652591172508","0.14804091151978988","0.19559214030366026","-0.26119209664262916","-0.4969135755194177","-0.025470617765840628","0.26409193024112554","0.1908182690541207","0.33736559142813033"
"33","0.7563619929943501","0.7522697588808807","0.7604542271078197","0.17209421844623193","0.15026817391711328","0.1939202629753506","0.055292573185014786","0.0350618411608781","0.07552330520915147","0.2753291653624364","0.20602446570487157","0.34463386502000126"
"35","0.7589655242971394","0.753273733373117","0.7646573152211618","0.17280186763468874","0.150859584208148","0.19474415106122953","0.04519260006231918","-0.21531174605357173","0.3056969461782101","0.2878184112583774","0.2105187593313411","0.36511806318541373"
"37","0.7616727491724898","0.7542379027720281","0.7691075955729516","0.1733138343553493","0.15448440621667928","0.1921432624940193","-0.040391232303194184","-0.19679822968209182","0.11601576507570345","0.3009398274237527","0.20995726422927213","0.3919223906182333"
"39","0.7613948170818012","0.751744194314498","0.7710454398491045","0.17600846873788262","0.1587549452876291","0.1932619921881361","0.0027326060684967485","-0.13881575427738227","0.14428096641437577","0.31099184104481037","0.20675594287711108","0.4152277392125097"
"41","0.7649698430734886","0.7559817689917016","0.7739579171552755","0.17702542200297317","0.16093705918486226","0.19311378482108407","-0.005540019822277753","-0.2805599071300241","0.2694798674854686","0.3118573642863529","0.20707689334359547","0.4166378352291104"
"43","0.766517676511989","0.7571863881167478","0.7758489649072302","0.17738072959428058","0.16246211269598548","0.1922993464925757","-0.0321056016415846","-0.12093088881030316","0.05671968552713395","0.30983019481241103","0.21004672058759066","0.40961366903723134"
"45","0.769200611461238","0.7601662859279299","0.7782349369945459","0.17824685865107337","0.1627745551642602","0.19371916213788656","0.2011704537277888","0.1068452786670696","0.295495628788508","0.3097253585285047","0.21251488891431525","0.40693582814269413"
"47","0.7722455557271151","0.7655545125428771","0.778936598911353","0.179836084420074","0.16672095022875344","0.19295121861139458","0.021401545446253535","-0.02826373486172494","0.07106682575423201","0.31467994113040393","0.21387149534441607","0.4154883869163918"
"49","0.7733775180938871","0.7649189029598816","0.7818361332278927","0.18087126759986888","0.17073867592286868","0.19100385927686908","0.013523650552099475","-0.17085838111812618","0.19790568222232513","0.31800551067332833","0.21463850792864303","0.42137251341801363"
"51","0.7741879691110514","0.7660204576831836","0.7823554805389192","0.1799364003404031","0.17150018435533376","0.18837261632547242","0.1931037290761669","0.09374870695793062","0.2924587511944032","0.32078209750992015","0.21413060570072934","0.427433589319111"
"53","0.774748372854817","0.7675229725746154","0.7819737731350185","0.182229818163545","0.17722798553406446","0.18723165079302553","0.02024618622984202","-0.14986151675928064","0.19035388921896468","0.32196232092101057","0.21371036470313182","0.4302142771388893"
"55","0.7760014624766913","0.7689867680548648","0.7830161568985178","0.18184735132227242","0.1749458445720995","0.18874885807244535","0.14334369881741507","0.1231671451460112","0.16352025248881896","0.32296077379133475","0.21401533281770627","0.43190621476496327"
"57","0.7766786827385874","0.7708110009464446","0.7825463645307302","0.18009817965046232","0.1729304010102741","0.1872659582906505","0.030909804238673698","0.012754021621067077","0.04906558685628032","0.32461307310697984","0.214448905388294","0.43477724082566566"
"59","0.7789035944998798","0.7724861097105253","0.7853210792892342","0.17899095947215335","0.17162949936987565","0.18635241957443105","0.15720755655859675","0.1522781592320491","0.16213695388514437","0.32720918876555094","0.21538541406312312","0.4390329634679788"
"61","0.7812390045419351","0.7768794047035181","0.7855986043803521","0.18154582947698433","0.1720170806172098","0.19107457833675887","-0.26104676519071546","-0.3309101486050118","-0.19118338177641908","0.32944428379814145","0.21444744119716172","0.44444112639912114"
"63","0.7827793195814465","0.7790650398773118","0.7864935992855812","0.18305412931403453","0.17363915572254265","0.19246910290552638","-0.017572990698715173","-0.15223401098601916","0.11708802958858881","0.33186948858434717","0.2142376352159196","0.4495013419527747"
"65","0.7858735761077584","0.7797105940735505","0.7920365581419664","0.18602660286679806","0.17733144593070796","0.1947217598028882","0.0926774435996335","0.08048451142284918","0.1048703757764178","0.33452211239885543","0.21423113030194213","0.4548130944957688"
"67","0.7901825599501697","0.7807500746240431","0.7996150452762962","0.18851434214875804","0.178808174094721","0.19822051020279507","0.04241732155137322","-0.17541592796904473","0.26025057107179117","0.3391978907666726","0.21560757596732122","0.462788205566024"
"69","0.7916956844771363","0.7807762895052075","0.8026150794490652","0.19092109485237854","0.18356748370380832","0.19827470600094876","-0.0615020033709176","-0.08838859251358097","-0.034615414228254225","0.34320139711653397","0.21493511597904924","0.4714676782540187"
"71","0.7937039731266269","0.7808053437491989","0.806602602504055","0.19345886210427754","0.18850086745800326","0.1984168567505518","-0.4181843288322522","-0.49921401638860785","-0.3371546412758966","0.3443474648861654","0.21262145645424158","0.4760734733180892"
"73","0.7967744121382199","0.7847555638205742","0.8087932604558656","0.19465630658266175","0.19104982235113843","0.19826279081418505","0.18492704630603474","0.1687015682441857","0.20115252436788378","0.34572872205314137","0.21125532647204415","0.4802021176342386"
"75","0.7969463034886131","0.7832831132262508","0.8106094937509754","0.19477368808732987","0.19054451544164225","0.1990028607330175","-0.20538655008244125","-0.3804427101878112","-0.03033038997707134","0.3479257263634497","0.21096873844847314","0.4848827142784263"
"77","0.7979271057271274","0.781749914847162","0.8141042966070928","0.19337115621269998","0.18916571641328406","0.1975765960121159","0.20152958103956306","0.16726151401825218","0.23579764806087394","0.3492242622518789","0.21030292142748566","0.4881456030762722"
"79","0.7970882729042668","0.7799447256643413","0.8142318201441923","0.19158585869744005","0.18669142123202054","0.19648029616285953","0.4965896132864397","0.4057696867978681","0.5874095397750112","0.3496530475611419","0.20900175793136722","0.49030433719091665"
"81","0.7967860931520815","0.7802969802106825","0.8132752060934805","0.19159214752524129","0.18447517906654698","0.1987091159839356","0.06523460961117236","-0.10999417304601912","0.24046339226836386","0.35098801933829643","0.2089205209396241","0.49305551773696876"
"83","0.7966503265460445","0.7824743058086141","0.8108263472834749","0.19061731391065567","0.18134707523108953","0.1998875525902218","0.1224145632188977","0.059640726313291204","0.1851884001245042","0.35149347578294066","0.20700167554866236","0.4959852760172189"
"85","0.7973162884934364","0.7840203616684268","0.810612215318446","0.19151225058011895","0.17947223341350352","0.20355226774673435","-0.05598639308626668","-0.13800845794746563","0.02603567177493228","0.3522644893798431","0.2057961099905921","0.4987328687690941"
"87","0.8003416036204686","0.7846720417544941","0.816011165486443","0.19201962917369253","0.17938845393299752","0.20465080441438757","-0.01268267070024217","-0.11432156231590121","0.08895622091541687","0.3548125971332972","0.20773067089945485","0.5018945233671396"
"89","0.8030772355342248","0.7877958960010789","0.8183585750673706","0.19341889176115434","0.18076565428156682","0.20607212924074186","-0.07364332688452703","-0.23122391323596428","0.08393725946691022","0.3579365919506391","0.2107663701758214","0.5051068137254568"
"91","0.8046800054963964","0.7882680178978402","0.8210919930949526","0.19499900833645697","0.1829937731746436","0.20700424349827035","0.3981252503176113","0.3771685072080202","0.4190819934272024","0.3620499434536979","0.21577311474130784","0.5083267721660879"
"93","0.8043644702026798","0.7848342609784068","0.8238946794269528","0.19702022771708833","0.18605955940434823","0.20798089602982844","0.1589788142278147","-0.041496808839825386","0.3594544372954548","0.36591211976140514","0.21974750535468596","0.5120767341681243"
"95","0.8047862839339179","0.7835026537651975","0.8260699141026385","0.19750444427121286","0.18902164289836587","0.20598724564405985","-0.05338342503520206","-0.1433197134290512","0.036552863358647075","0.3685963681982375","0.22072013252789496","0.5164726038685801"
"97","0.8057549854690378","0.7858136559783405","0.825696314959735","0.19777363814507126","0.18946066903235204","0.2060866072577905","0.17420444340505664","-0.13363120908020715","0.48204009589032043","0.371118160152519","0.22029117786935648","0.5219451424356816"
